ID,probability
TEST_00000,0.001264581346917406
TEST_00001,0.0025783993087227846
TEST_00002,0.16311239890435064
TEST_00003,0.10640917833843125
TEST_00004,0.503436908325724
TEST_00005,0.12533682565242585
TEST_00006,0.44115975644534944
TEST_00007,0.3615213458949695
TEST_00008,0.24050899409183993
TEST_00009,0.0009081846789987682
TEST_00010,0.04758543007903036
TEST_00011,0.4771885282030784
TEST_00012,0.356505351915495
TEST_00013,0.392659024578401
TEST_00014,0.3102125688371025
TEST_00015,0.00184828582458587
TEST_00016,0.24054584239425017
TEST_00017,0.3690827745920116
TEST_00018,0.1428864257672362
TEST_00019,0.5912150464230707
TEST_00020,0.25930546733769244
TEST_00021,0.393033246031424
TEST_00022,0.31122599517557925
TEST_00023,0.19900365932438874
TEST_00024,0.4090755169025181
TEST_00025,0.000956622205032783
TEST_00026,0.12423666466802388
TEST_00027,0.44242885826777273
TEST_00028,0.15868432179118344
TEST_00029,0.19292206153521876
TEST_00030,0.4520778673101847
TEST_00031,0.1731991054319771
TEST_00032,0.1517831428070379
TEST_00033,0.1702207897518823
TEST_00034,0.40398293313843747
TEST_00035,0.0014030027872708696
TEST_00036,0.13122318957604787
TEST_00037,0.31461387645816863
TEST_00038,0.19842266814429424
TEST_00039,0.0015937215391174096
TEST_00040,0.16480852757617762
TEST_00041,0.1321001026614813
TEST_00042,0.314067232919954
TEST_00043,0.296422949149701
TEST_00044,0.31052116107347
TEST_00045,0.4991780650903169
TEST_00046,0.5332439698638903
TEST_00047,0.2502150572710724
TEST_00048,0.12233499969894317
TEST_00049,0.3876200704285623
TEST_00050,0.2454175812091493
TEST_00051,0.1528030593976015
TEST_00052,0.10455401533406143
TEST_00053,0.5893082441749076
TEST_00054,0.001080702429569946
TEST_00055,0.40218396002240564
TEST_00056,0.3665757888193202
TEST_00057,0.19469605476944857
TEST_00058,0.5170405548835463
TEST_00059,0.19387717217466702
TEST_00060,0.0019058436030881978
TEST_00061,0.16038872144028724
TEST_00062,0.36213020697146825
TEST_00063,0.33583401622988984
TEST_00064,0.2149159873289862
TEST_00065,0.001002156150178026
TEST_00066,0.26463064776727147
TEST_00067,0.1968350896529237
TEST_00068,0.2968085985510844
TEST_00069,0.47114759074307316
TEST_00070,0.36334574980801726
TEST_00071,0.3724487064337163
TEST_00072,0.2155732056699195
TEST_00073,0.25766892898535826
TEST_00074,0.13601171646999258
TEST_00075,0.2446826614907933
TEST_00076,0.009924555429415461
TEST_00077,0.0012182906885897557
TEST_00078,0.12506576898935617
TEST_00079,0.21601264538752366
TEST_00080,0.34384151679752184
TEST_00081,0.0008252411274135579
TEST_00082,0.21819302406661922
TEST_00083,0.16469868422990494
TEST_00084,0.436795531214252
TEST_00085,0.37389444862941207
TEST_00086,0.000884985023700933
TEST_00087,0.36885073980224264
TEST_00088,0.162287480675531
TEST_00089,0.37381312015495
TEST_00090,0.21715448103780288
TEST_00091,0.10875861184996556
TEST_00092,0.37716666170769275
TEST_00093,0.5715673688600389
TEST_00094,0.000525144043033984
TEST_00095,0.0008367198611743449
TEST_00096,0.4495711928359352
TEST_00097,0.12112919950911244
TEST_00098,0.3730183415899953
TEST_00099,0.26644243086278435
TEST_00100,0.10826735958695995
TEST_00101,0.17208237454608874
TEST_00102,0.35676966006108096
TEST_00103,0.2966797569035874
TEST_00104,0.35907588312994837
TEST_00105,0.47036974359640027
TEST_00106,0.26230465793772295
TEST_00107,0.0013469832175167103
TEST_00108,0.33320560982905095
TEST_00109,0.0013117373844537736
TEST_00110,0.4304260762434022
TEST_00111,0.3962680879750559
TEST_00112,0.011675559203856488
TEST_00113,0.37615643148838934
TEST_00114,0.21027884270700525
TEST_00115,0.3873995343179544
TEST_00116,0.0015646460775371393
TEST_00117,0.4620909742232095
TEST_00118,0.32270248209720953
TEST_00119,0.17021582567531174
TEST_00120,0.0012163686089665755
TEST_00121,0.0012531767354795685
TEST_00122,0.32774155329792826
TEST_00123,0.5174545037793874
TEST_00124,0.41321697980097766
TEST_00125,0.2869339741262341
TEST_00126,0.002141844017947226
TEST_00127,0.05600544692864403
TEST_00128,0.2657921971063167
TEST_00129,0.4088545491770249
TEST_00130,0.2089653322521776
TEST_00131,0.36197023579802057
TEST_00132,0.0013676880599934726
TEST_00133,0.26163381583868495
TEST_00134,0.3852124581224038
TEST_00135,0.0014746066825392639
TEST_00136,0.17224966331797148
TEST_00137,0.22017410472253135
TEST_00138,0.08652723721214678
TEST_00139,0.24837774959915293
TEST_00140,0.011417330228073733
TEST_00141,0.001114751478024363
TEST_00142,0.3005275694977125
TEST_00143,0.0012958659117782503
TEST_00144,0.11867360166413313
TEST_00145,0.4987659083614379
TEST_00146,0.16200601485474989
TEST_00147,0.21975629166153837
TEST_00148,0.22942897286128924
TEST_00149,0.43092187162765705
TEST_00150,0.001435908071523696
TEST_00151,0.0005025062889607675
TEST_00152,0.4894310182585159
TEST_00153,0.306394447324313
TEST_00154,0.018975838477472178
TEST_00155,0.22081012842032496
TEST_00156,0.37062680344803156
TEST_00157,0.3778453919310287
TEST_00158,0.3819945928558389
TEST_00159,0.33776378504351645
TEST_00160,0.3940612102448867
TEST_00161,0.496474202354141
TEST_00162,0.3478278492892559
TEST_00163,0.0024894814172359003
TEST_00164,0.5368244790476174
TEST_00165,0.25437007496374064
TEST_00166,0.3847852674370005
TEST_00167,0.19792457322180204
TEST_00168,0.38478731097801355
TEST_00169,0.2061510954263186
TEST_00170,0.2208990080351176
TEST_00171,0.25111231182554755
TEST_00172,0.2417076830814263
TEST_00173,0.25947554076596036
TEST_00174,0.12103433841879631
TEST_00175,0.2783430533742953
TEST_00176,0.3955721960433884
TEST_00177,0.20059610929860677
TEST_00178,0.3497039030582678
TEST_00179,0.33327363368820534
TEST_00180,0.3385170630436363
TEST_00181,0.46806459930208455
TEST_00182,0.14842306012711284
TEST_00183,0.5157746684634646
TEST_00184,0.12744081015766545
TEST_00185,0.20076998184516937
TEST_00186,0.4047679017090598
TEST_00187,0.2441526412729411
TEST_00188,0.3193514640336415
TEST_00189,0.2934601169572437
TEST_00190,0.428113518086261
TEST_00191,0.2010936743448068
TEST_00192,0.28452734497800936
TEST_00193,0.054273088212930434
TEST_00194,0.6527782827359787
TEST_00195,0.36722344160709003
TEST_00196,0.437112320124832
TEST_00197,0.27109063674854705
TEST_00198,0.26971704491859555
TEST_00199,0.32903172039263967
TEST_00200,0.39706834931031465
TEST_00201,0.4579936083153732
TEST_00202,0.2740867673566947
TEST_00203,0.3291575743950631
TEST_00204,0.001051568186853625
TEST_00205,0.049013795552945764
TEST_00206,0.0011980861572660371
TEST_00207,0.29279368606141115
TEST_00208,0.20791041520367634
TEST_00209,0.28831335262508745
TEST_00210,0.44370756322597416
TEST_00211,0.13041751778906574
TEST_00212,0.15736198219110012
TEST_00213,0.11945671498535851
TEST_00214,0.35216896263634184
TEST_00215,0.2901744905179779
TEST_00216,0.3291924085822127
TEST_00217,0.2793664369306838
TEST_00218,0.49236675021812604
TEST_00219,0.21856090532806333
TEST_00220,0.5832925018091053
TEST_00221,0.39349629020027993
TEST_00222,0.09925333039039363
TEST_00223,0.2735231814510199
TEST_00224,0.11727607905791979
TEST_00225,0.31366768460774636
TEST_00226,0.2231618888227913
TEST_00227,0.278221341221134
TEST_00228,0.0014995695262599465
TEST_00229,0.32499466754595757
TEST_00230,0.2943191366256291
TEST_00231,0.38800427973012813
TEST_00232,0.25219616418934476
TEST_00233,0.3057194315492073
TEST_00234,0.3541012402684679
TEST_00235,0.48986906098739064
TEST_00236,0.3207942916234126
TEST_00237,0.0013236184456222252
TEST_00238,0.0013596006158922856
TEST_00239,0.43522331682571364
TEST_00240,0.29627414950908443
TEST_00241,0.39883994789817945
TEST_00242,0.2994328243311049
TEST_00243,0.17049695199193457
TEST_00244,0.0010764668697851585
TEST_00245,0.5334329023666776
TEST_00246,0.3643138651669595
TEST_00247,0.10701488325333727
TEST_00248,0.3422943576965898
TEST_00249,0.4498968825312805
TEST_00250,0.20594560127058456
TEST_00251,0.0010820525785874618
TEST_00252,0.4195959541167859
TEST_00253,0.009523111540278517
TEST_00254,0.37368039915312046
TEST_00255,0.5512268519875418
TEST_00256,0.3110031230014939
TEST_00257,0.3612534804255333
TEST_00258,0.4114384310406702
TEST_00259,0.5060487117817507
TEST_00260,0.0014812689228301174
TEST_00261,0.0010384628819347192
TEST_00262,0.0017810977907353365
TEST_00263,0.5416266468380335
TEST_00264,0.2212136557745714
TEST_00265,0.31869341334460277
TEST_00266,0.19557404526995734
TEST_00267,0.0011117567071221937
TEST_00268,0.21061861852350328
TEST_00269,0.40304782800363426
TEST_00270,0.16636805591966983
TEST_00271,0.001181009866502998
TEST_00272,0.26250799713102885
TEST_00273,0.2552692684563394
TEST_00274,0.25493797342212376
TEST_00275,0.05430469330668438
TEST_00276,0.0008106140013510783
TEST_00277,0.2457405296646105
TEST_00278,0.3528392744546641
TEST_00279,0.49970222502608647
TEST_00280,0.0012520458323751274
TEST_00281,0.12166059764506743
TEST_00282,0.0015666861008322602
TEST_00283,0.0016979235482097311
TEST_00284,0.39332029178205585
TEST_00285,0.29457580765330604
TEST_00286,0.05914571795754541
TEST_00287,0.5112316484708644
TEST_00288,0.0018100729011882644
TEST_00289,0.3752159243774648
TEST_00290,0.16453792616108026
TEST_00291,0.2391684513983069
TEST_00292,0.4350238101240798
TEST_00293,0.0013047309922523966
TEST_00294,0.5281063214799331
TEST_00295,0.33272024921584664
TEST_00296,0.02275636748856569
TEST_00297,0.0011394021902912403
TEST_00298,0.5259321705717888
